PredictFile,Created,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
BAT-USD-predict-ensamble-gakknn-MBB.csv,2020-11-15T20:04:16.101345Z,0.546,0.517,0.706,0.124,0.169,0.448,0.643,0.706,0.168,0.07
BAT-USD-predict-ensamble-gakknn-MBC.csv,2020-11-15T21:10:55.507802Z,0.743,0.619,0.706,0.052,0.118,0.459,0.315,0.588,0.193,0.249
BAT-USD-predict-ensamble-gakknn-MBD.csv,2020-11-15T22:32:03.452592Z,0.694,0.534,0.588,0.134,0.062,0.651,0.333,0.235,0.119,0.266
BAT-USD-predict-ensamble-gakknn-MBE.csv,2020-11-16T09:16:52.083213Z,0.651,0.513,0.588,0.11,0.069,0.629,0.7,0.824,0.142,0.114
BAT-USD-predict-ensamble-gakknn-MC.csv,2020-11-16T11:34:14.082859Z,0.742,0.589,0.588,0.132,0.089,0.579,0.422,0.353,0.133,0.137
BAT-USD-predict-ensamble-gakknn-MCA.csv,2020-11-16T12:38:10.910722Z,0.753,0.465,0.412,0.153,0.047,0.59,0.46,0.529,0.125,0.065
BAT-USD-predict-ensamble-gakknn-MCB.csv,2020-11-16T14:11:45.780645Z,0.671,0.722,0.75,0.214,0.21,0.622,0.778,1,0.324,0.385
BAT-USD-predict-ensamble-gakknn-MCC.csv,2020-11-16T15:55:35.217985Z,0.743,0.447,0.294,0.169,0.16,0.568,0.383,0.294,0.1,0.131
BAT-USD-predict-ensamble-gakknn-MCD.csv,2020-11-16T16:46:44.827506Z,0.739,0.527,0.529,0.132,0.041,0.543,0.334,0.412,0.15,0.073
BAT-USD-predict-ensamble-gakknn-MCE.csv,2020-11-16T18:38:03.025417Z,0.596,0.492,0.667,0.115,0.151,0.824,0.85,1,0.229,0.26
BAT-USD-predict-ensamble-gakknn-MCF.csv,2020-11-16T17:54:25.616832Z,0.72,0.443,0.412,0.168,0.064,0.58,0.318,0.294,0.125,0.171
BAT-USD-predict-ensamble-gakknn-MD.csv,2020-11-16T20:07:19.328028Z,0.57,0.469,0.571,0.15,0.091,0.621,0.642,0.857,0.329,0.383
BAT-USD-predict-ensamble-gakknn-MDA.csv,2020-11-16T21:57:50.233489Z,0.638,0.599,0.625,0.088,0.106,0.519,0.599,0.625,0.169,0.106
BAT-USD-predict-ensamble-gakknn-MDB.csv,2020-11-17T08:06:35.776370Z,0.612,0.459,0.529,0.131,0.065,0.428,0.567,0.647,0.189,0.117
BAT-USD-predict-ensamble-gakknn-MDC.csv,2020-11-17T09:17:27.622705Z,0.726,0.491,0.588,0.156,0.087,0.587,0.621,0.706,0.179,0.266
BAT-USD-predict-ensamble-gakknn-MDD.csv,2020-11-17T12:12:39.475239Z,0.689,0.533,0.647,0.126,0.1,0.494,0.486,0.765,0.173,0.286
BAT-USD-predict-ensamble-gakknn-MDE.csv,2020-11-17T13:14:11.125397Z,0.676,0.6,0.2,0.201,0.4,0.178,0,0,0.2,0
BAT-USD-predict-ensamble-gakknn-ME.csv,2020-11-17T14:15:41.284027Z,0.656,0.494,0.294,0.132,0.214,0.535,0.481,0.529,0.062,0.048
BAT-USD-predict-ensamble-gakknn-MEA.csv,2020-11-17T15:26:35.212452Z,0.655,0.45,0.235,0.098,0.187,0.544,0.32,0.235,0.108,0.156
BAT-USD-predict-ensamble-gakknn-MEB.csv,2020-11-17T16:21:12.926073Z,0.78,0.557,0.529,0.078,0.121,0.511,0.442,0.294,0.106,0.132
BAT-USD-predict-ensamble-gakknn-MEC.csv,2020-11-17T17:14:41.821196Z,0.679,0.562,0.647,0.165,0.091,0.533,0.471,0.412,0.084,0.051
BAT-USD-predict-ensamble-gakknn-MED.csv,2020-11-17T18:22:55.996514Z,0.617,0.554,0.615,0.144,0.082,0.454,0.565,0.538,0.126,0.081
BAT-USD-predict-ensamble-gakknn-MEE.csv,2020-11-17T19:24:46.815236Z,0.693,0.462,0.529,0.09,0.121,0.573,0.464,0.412,0.104,0.073
BAT-USD-predict-ensamble.csv,2020-11-03T16:33:54.812521Z,0.53,0.511,0.353,0.096,0.139,0.389,0.379,0.353,0.134,0.127
BAT-USD-predict-glmLDAB-ensamble.csv,2020-10-30T09:02:35.821492Z,0.541,0.519,0.412,0.082,0.14,0.39,0.51,0.647,0.172,0.14
BAT-USD-predict-glmLDB-ensamble.csv,2020-10-29T14:55:58.568228Z,0.58,0.529,0.471,0.091,0.09,0.481,0.561,0.706,0.239,0.255
BAT-USD-predict-glmLDC-ensamble.csv,2020-10-29T16:17:45.862282Z,0.52,0.474,0.471,0.159,0.009,0.399,0.511,0.588,0.139,0.185
BAT-USD-predict-glmLDD-ensamble.csv,2020-11-03T16:36:00.740516Z,0.537,0.496,0.471,0.171,0.023,0.46,0.489,0.588,0.191,0.193
BAT-USD-predict-glmLDF-ensamble.csv,2020-10-30T18:50:32.311625Z,0.553,0.56,0.471,0.113,0.106,0.422,0.529,0.706,0.193,0.208
BAT-USD-predict-glmLDG-ensamble.csv,2020-11-04T09:26:57.401218Z,0.585,0.588,0.353,0.095,0.205,0.378,0.469,0.588,0.133,0.112
BAT-USD-predict-kknnLDA-ensamble.csv,2020-11-03T15:38:51.608257Z,0.624,0.559,0.529,0.118,0.037,0.525,0.514,0.529,0.129,0.14
BAT-USD-predict-kknnLDAA-ensamble.csv,2020-11-03T15:38:51.608284Z,0.624,0.559,0.529,0.118,0.037,0.525,0.514,0.529,0.129,0.14
BAT-USD-predict-kknnLDAB-ensamble.csv,2020-11-03T15:38:51.608563Z,0.706,0.479,0.294,0.21,0.192,0.509,0.511,0.647,0.079,0.118
BAT-USD-predict-kknnLDAD-ensamble.csv,2020-11-01T12:19:18.208467Z,0.667,0.531,0.412,0.056,0.104,0.481,0.376,0.412,0.157,0.129
