PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
VEJU_a103,302,173,475,0.64,0.36
VEJU_a120,257,200,457,0.56,0.44
VEJU_a135,265,187,452,0.59,0.41
VEJU_a150,254,195,449,0.57,0.43
VEJU_a180,161,131,292,0.55,0.45
VEJU_a30,324,220,544,0.6,0.4
VEJU_a45,293,236,529,0.55,0.45
VEJU_a60,332,232,564,0.59,0.41
VEJU_a90,290,260,550,0.53,0.47
VEMA_a0,338,266,604,0.56,0.44
VEMA_a103,324,274,598,0.54,0.46
VEMA_a120,258,178,436,0.59,0.41
VEMA_a135,107,107,214,0.5,0.5
VEMA_a150,116,88,204,0.57,0.43
VEMA_a180,64,55,119,0.54,0.46
VEMA_a30,346,270,616,0.56,0.44
VEMA_a45,401,275,676,0.59,0.41
VEMA_a60,347,300,647,0.54,0.46
VEMA_a90,315,193,508,0.62,0.38
VENE_a0,157,137,294,0.53,0.47
VENE_a103,307,209,516,0.59,0.41
VENE_a120,281,249,530,0.53,0.47
VENE_a135,271,247,518,0.52,0.48
VENE_a150,264,229,493,0.54,0.46
VENE_a180,201,136,337,0.6,0.4
VENE_a30,286,236,522,0.55,0.45
VENE_a45,303,215,518,0.58,0.42
VENE_a60,265,237,502,0.53,0.47
VENE_a90,297,232,529,0.56,0.44
VEPL_a0,186,137,323,0.58,0.42
VEPL_a103,269,249,518,0.52,0.48
VEPL_a120,321,218,539,0.6,0.4
VEPL_a135,326,223,549,0.59,0.41
VEPL_a150,296,231,527,0.56,0.44
VEPL_a180,166,139,305,0.54,0.46
VEPL_a30,270,214,484,0.56,0.44
VEPL_a45,297,206,503,0.59,0.41
VEPL_a60,322,183,505,0.64,0.36
VEPL_a90,275,252,527,0.52,0.48
VESA_a0,173,149,322,0.54,0.46
VESA_a103,294,246,540,0.54,0.46
VESA_a120,277,218,495,0.56,0.44
VESA_a135,291,241,532,0.55,0.45
VESA_a150,256,194,450,0.57,0.43
VESA_a180,145,131,276,0.53,0.47
VESA_a30,303,218,521,0.58,0.42
VESA_a45,263,222,485,0.54,0.46
VESA_a60,305,221,526,0.58,0.42
VESA_a90,297,257,554,0.54,0.46
VESU_a0,452,365,817,0.55,0.45
VESU_a30,880,721,1601,0.55,0.45
VESU_a45,1669,1249,2918,0.57,0.43
VEUR_a0,162,118,280,0.58,0.42
VEUR_a103,289,223,512,0.56,0.44
VEUR_a120,275,219,494,0.56,0.44
VEUR_a135,296,228,524,0.56,0.44
VEUR_a150,302,205,507,0.6,0.4
VEUR_a180,200,126,326,0.61,0.39
VEUR_a30,299,228,527,0.57,0.43
VEUR_a45,290,248,538,0.54,0.46
VEUR_a60,253,222,475,0.53,0.47
VEUR_a90,278,220,498,0.56,0.44
